"Captions","Sentiment","Timestamp","User names","Language","Hashtags","Resharess","Likes","Country","Year","Month","Day","Hour","Fatigue","Concentration","Sleep disturbance","Sucidal Ideation","Low energy","Hopelessness","Depression state"
" Trying out a new recipe for dinner tonight.        "," Neutral   ","1/19/2023"," ChefCook     ","1"," #Cooking #Food                           ","12","25"," Australia ","2023","1","15","19","2","2","1","1","2","1","No Depresssion"
"Spent hours perfecting a chemistry experiment. Mixing potions like a wizard! "," Joy ","8/10/2023"," ChemistryWizardHighSchool ","1"," #ChemistryWizard #HighSchoolScientist ","28","55"," UK","2023","8","10","14","1","1","1","1","1","1","No Depression"
"Entered the kitchen with the intention to cook. Left with a bag of chips. Cooking is overrated, anyway. #MasterChefInTraining #TeenHumor "," Disgust ","5/27/2023"," ChipExplorer ","1"," #TeenChef #CookingFail ","22","45"," Canada","2023","5","27","21","2","2","1","1","2","1","Minimal Depression"
"Joined a community choir, harmonizing with fellow voices. Music creates bonds that withstand time. #CommunityChoir #HarmonyInAging "," Joy ","6/20/2023"," ChoirEnthusiast ","1"," #MusicHarmony #SeniorVoices ","20","40"," USA","2023","6","20","14","1","1","1","1","1","1","No Depresseion"
"Surprise and delight at discovering a hidden gem in the city.    "," Surprise      ","10/18/2019"," CityExplorer    ","1"," #Surprise #HiddenGem                      ","18","35"," UK                ","2019","10","18","16","1","1","1","1","1","1","Minimal Depression"
" Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. "," Yearning ","11/2/2020"," ColdEmbrace ","1"," #Yearning #DistantWarmth ","10","20"," Australia ","2020","11","2","19","3","3","4","3","3","4","Moderate Depression"
"Experiencing the magic of a Coldplay concert, where 'Fix You' becomes a beacon of hope in the night. "," Hope ","11/28/2016"," ColdplayHopeSeeker ","1"," #Hope #ColdplayMagic ","30","60"," UK ","2016","11","28","19","1","1","1","1","1","1","No Depresseion"
"Surrounded by the colors of joy, a canvas painted with laughter and endless smiles. "," Joy ","7/2/2019"," ColorfulLaughter ","1"," #Joy #EndlessSmiles ","40","80"," Canada ","2019","7","2","17","1","1","1","1","1","1","No Depresseion"
"Practicing a stand-up comedy routine for the upcoming talent show. Comedy gig: In the making! "," Joy ","9/1/2023"," ComedyGeniusHighSchool ","1"," #StandUpComedy #HighSchoolTalent ","21","39"," Canada","2023","9","1","14","1","1","1","1","1","1","No Depresseion"
"Feeling blessed for the supportive community in times of need.    "," Blessed       ","9/10/2021"," CommunityHelper ","1"," #Blessed #SupportiveCommunity            ","18","35"," UK                ","2021","9","10","9","2","1","1","1","1","1","Minimal Depression"
" Gratitude for the supportive community around me.    "," Gratitude     ","4/20/2013"," CommunityLove   ","1"," #Gratitude #CommunitySupport                   ","30","60"," USA ","2013","4","20","10","1","1","1","1","1","1","No Depression"
" Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. "," Confusion       ","8/5/2020"," ComplexThinker    ","1"," #Confusion #PerplexedMind                ","14","28"," Australia    ","2020","8","5","12","3","4","3","2","3","3","Moderate Depression"
" Confusion clouds my mind as I navigate through decisions."," Confusion    ","2/18/2023"," ConfusedMind    ","1"," #Confusion #DecisionMaking                 ","25","50"," UK   ","2023","2","18","14","3","3","3","2","3","2","Minimal Depression"
" Confusion reigns as I try to make sense of recent events."," Confusion    ","2/27/2023"," ConfusedMind2   ","1"," #Confusion #MakingSense                    ","25","50"," UK   ","2023","2","27","14","2","3","3","2","2","2","Minimal Depression"
" Confusion surrounds me as I navigate through life's choices. "," Confusion ","3/2/2023"," ConfusedMind3   ","1"," #Confusion #LifeChoices                     ","30","60"," USA   ","2023","3","2","13","2","3","3","2","2","2","Minimal Depression"
" Disgust at the corruption that stains society.     "," Disgust         ","7/1/2016"," CorruptedHeart   ","1"," #Disgust #Corruption                        ","7","15"," UK            ","2016","7","1","9","2","2","2","2","2","2","Minimal Depression"
"A sense of wonder at the vastness of the cosmos on a stargazing night. "," Wonder     ","7/8/2018"," CosmosExplorer  ","1"," #Wonder #StargazingAdventure            ","40","80"," South Africa    ","2018","7","8","23","1","1","1","1","1","1","No Depresseion"
"Awe-inspired by the vastness of the cosmos on a stargazing night.   "," Wonder       ","7/8/2018"," CosmosExplorer  ","1"," #Wonder #StargazingAdventure            ","40","80"," South Africa    ","2018","7","8","23","1","1","1","1","1","1","Minimal Depression"
" Envy eats away at me as I see others' prosperity.  "," Envy            ","11/7/2018"," CovetousMind     ","1"," #Envy #Desire                                ","10","20"," Canada        ","2018","11","7","11","2","2","2","1","2","2","Minimal Depression"
"Admiration for the intricate details of a handcrafted masterpiece. "," Admiration    ","8/20/2019"," CraftEnthusiast ","1"," #Admiration #HandcraftedArt               ","25","50"," USA               ","2019","8","20","16","1","1","1","1","1","1","Minimal Depression"
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. "," Ambivalence     ","8/5/2022"," CrossroadsExplorer","1"," #Ambivalence #CrossroadsConfusion        ","15","30"," Canada        ","2022","8","5","11","2","2","2","2","2","3","Minimal Depression"
"Thrilled to witness the grandeur of a cultural festival.       "," Thrill        ","9/15/2020"," CultureEnthusiast ","1"," #Thrill #CulturalCelebration              ","40","80"," India              ","2020","9","15","14","1","1","1","1","1","1","No Depresseion"
" Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. "," Dismissive ","8/18/2018"," CurtainShield ","1"," #Dismissive #IndifferencePerformance ","12","24"," Australia ","2018","8","18","14","3","3","3","2","3","3","Moderate Depression"
"In the dance of positivity, every step is a rhythm, uplifting the soul in harmony. "," Positivity ","9/18/2016"," DanceHarmony ","1"," #Positivity #SoulUpliftment ","18","35"," France ","2016","9","18","19","1","1","1","1","1","1","No Depresseion"
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. "," Hopeful ","7/17/2022"," DawnGardener ","1"," #Hopeful #SeedsOfOptimism ","14","28"," UK ","2022","7","17","6","1","2","2","1","1","1","No Depresseion"
"Encountered some mean-spirited comments online. Dealing with online hate is never easy. "," Hate ","9/12/2023"," DealingWithHateHighSchool ","1"," #OnlineHate #HighSchoolReality ","18","36"," Canada","2023","9","12","12","4","4","4","3","4","4","Severel Depression Depression"
"Lost in the enchantment of Disneyland, each ride a journey into the realm of childhood fantasies. "," Enchantment ","9/28/2022"," DisneylandExplorer ","1"," #Enchantment #ChildhoodFantasies ","30","60"," USA ","2022","9","28","15","1","1","1","1","1","1","No Depresseion"
"Watching a heartwarming family drama, tears flow freely as the characters overcome challenges, leaving the viewer with a warm glow. "," Touched ","1/15/2021"," DramaEnthusiastHeartwarmingMoments ","1"," #Touched #FamilyDramaMoments ","28","55"," India ","2021","1","15","18","1","1","1","1","1","1","No Depresseion"
"Chasing dreams under the vibrant sky, a journey fueled by hope and enthusiasm. "," Enthusiasm ","10/28/2019"," DreamChaser ","1"," #Enthusiasm #HopefulJourney ","30","60"," Australia ","2019","10","28","14","1","1","1","1","1","1","No Depresseion"
" Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. "," Frustrated ","1/7/2022"," DreamMosaic ","1"," #Frustrated #MosaicOfDisappointment ","15","30"," Canada ","2022","1","7","11","3","3","3","2","3","3","Moderate Depression"
" Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. "," Hopeful ","4/18/2022"," DreamPainter ","1"," #Hopeful #CanvasOfDreams ","12","24"," India ","2022","4","18","8","2","2","2","2","2","2","Minimal Depression"
"The echoes of solitude, a silent conversation between a soul and its shadows. "," Solitude ","6/15/2016"," EchoedConversation ","1"," #Solitude #ShadowConversation ","30","60"," Spain ","2016","6","15","22","4","4","4","4","4","4","Severel Depression Depression"
"Suffocating in the silence of solitude, where echoes of laughter once thrived. "," Isolation ","5/20/2022"," EchoedLaughter ","1"," #Isolation #SilentSolitude ","30","60"," South Africa ","2022","5","20","20","5","5","5","5","5","5","Critical Depression"
" Loneliness echoes in empty spaces, yearning for connection."," Loneliness ","9/12/2019"," EchoingSoul     ","1"," #Loneliness #YearningForConnection         ","15","30"," Australia     ","2019","9","12","18","1","1","1","1","1","1","No Depresseion"
"In the carnival of emotions, the rollercoaster of thrill sends the heart on a wild ride. "," Thrill ","3/28/2019"," EmotionCarnival ","1"," #Thrill #WildHeartRide ","35","70"," South Africa ","2019","3","28","15","1","1","2","1","2","1","Minimal Depression"
" Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom. "," Curiosity       ","10/8/2022"," EternalLearner    ","1"," #Curiosity #KnowledgeQuest                ","20","40"," USA          ","2022","10","8","8","1","2","1","1","1","1","Minimal depression"
"Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. "," Neutral ","10/7/2023"," ExtracurricularExplorationHighSchool ","1"," #SchoolClubs #HighSchoolInterests ","22","45"," UK","2023","10","7","20","2","2","1","1","2","1","No Depression"
"Whimsical delight in a world of whimsical fairy tales.             "," Whimsy        ","3/8/2016"," FairyTaleAdventurer ","1"," #Whimsy #FairyTaleMagic                 ","20","40"," USA             ","2016","3","8","14","1","1","1","1","1","1","Minimal Depression"
"Whimsical delight in a world of fairy tales and magical creatures.  "," Whimsy        ","3/8/2016"," FairyTaleExplorer ","1"," #Whimsy #MagicalWorld                    ","20","40"," USA             ","2016","3","8","14","2","1","1","1","1","1","Minimal Depression"
"Drenched in nostalgia while flipping through an old family photo album. "," Nostalgia ","12/5/2016"," FamilyHistorian ","1"," #Nostalgia #FamilyPhotoAlbum           ","25","50"," India          ","2016","12","5","21","1","1","1","1","1","1","Minimal Depression"
"Hosted a family dinner, where laughter echoed louder than the clinking of utensils. Family, the heart of happiness. #FamilyDinner #SeniorHost "," Contentment ","7/4/2023"," FamilyHostSenior ","1"," #HeartwarmingMoments #SeniorFamily ","35","70"," USA","2023","7","4","17","1","1","1","1","1","1","No Depresseion"
" Sending affectionate vibes to friends and family.        "," Affection    ","2/24/2023"," FamilyLover     ","1"," #Affection #FamilyLove                      ","15","30","USA","2023","2","24","16","1","1","1","1","1","1","No Depression"
"Got my hands on the latest fantasy novel. Diving into realms of magic and adventure! "," Excitement ","8/13/2023"," FantasyBookNerdHighSchool ","1"," #FantasyBookNerd #HighSchoolReader ","35","70"," UK","2023","8","13","20","1","1","1","1","1","1","No Depresseion"
"Bittersweet emotions arise while bidding farewell to a dear friend. "," Bittersweet ","3/15/2020"," FarewellSender ","1"," #Bittersweet #Farewell                     ","20","40"," Japan             ","2020","3","15","18","2","2","2","1","2","2","Minimal Depression"
"In the realm of fashion, the designer unveils a collection that tells a story, blending innovation and tradition on the runway of creativity. "," Runway Creativity ","11/10/2015"," FashionEnthusiastDesignerShowcase ","1"," #RunwayCreativity #FashionInnovation ","28","55"," Italy ","2015","11","10","21","1","1","1","1","1","1","No Depresseion"
" The fear of the unknown is keeping me up at night.    "," Fear         ","2/20/2023"," FearfulDreamer  ","1"," #Fear #Unknown                               ","15","30"," USA          ","2023","2","20","21","3","3","4","2","3","3","Moderate Depression"
" Arousal of excitement for an upcoming festival.       "," Arousal       ","9/25/2017"," FestivalFan     ","1"," #Arousal #FestivalExcitement               ","20","40"," UK ","2017","9","25","11","1","1","1","1","1","1","No Depression"
"As the movie credits roll, the viewer experiences a mix of awe and contemplation, pondering the deeper meanings woven into the storyline. "," Contemplation ","11/5/2019"," FilmBuffContemplativeViewer ","1"," #Contemplation #DeepMeanings ","28","55"," Germany ","2019","11","5","21","2","2","2","2","2","2","Minimal Depression"
"As the credits roll, a profound sense of nostalgia washes over, reminiscent of cherished moments in classic films. "," Nostalgia ","6/25/2019"," FilmLoverNostalgiaSeeker ","1"," #Nostalgia #ClassicFilmMoments ","35","70"," UK ","2019","6","25","22","2","2","2","2","2","2","Minimal Depression"
"In the celebration of success, fireworks of accomplishment light up the night sky of triumph. "," Success ","11/15/2017"," FireworksTriumph ","1"," #Success #NightSkyTriumph ","22","45"," Japan ","2017","11","15","22","1","1","1","1","1","1","No Depresseion"
" Pride in completing a challenging fitness challenge.    "," Pride        ","2/28/2023"," FitAchiever     ","1"," #Pride #FitnessChallengeCompleted          ","30","60"," UK            ","2023","2","28","16","1","1","1","1","1","1","No depression"
" New year, new fitness goals! ðŸ’ª                    "," Positive  ","1/28/2023"," FitJourney   ","1"," #NewYear #FitnessGoals                  ","28","55"," USA        ","2023","1","18","18","1","1","1","1","1","1","No Depresseion"
" Elation after achieving a fitness milestone.         "," Elation       ","6/15/2019"," FitnessAchiever2","1"," #Elation #FitnessMilestone                   ","25","50"," UK           ","2019","6","15","10","2","1","1","1","1","1","No Depression"
" Just finished an amazing workout! ðŸ’ª               "," Positive  ","1/17/2023"," FitnessFan   ","1"," #Fitness #Workout                        ","20","40"," USA        ","2023","1","15","15","1","1","1","1","1","1","No Depresseion"
"In the heart of a bustling market, the street food connoisseur indulges in a culinary adventure, savoring diverse flavors and aromas. "," Culinary Adventure ","8/28/2019"," FoodieMarketStreetFoodExploration ","1"," #CulinaryAdventure #StreetFoodDelights ","35","70"," Thailand ","2019","8","28","19","1","1","1","1","1","1","No Depresseion"
"Celebrating a historic victory in the World Cup, the nation erupts in joy, united by the triumph of their football team. "," Joy ","7/15/2018"," FootballFanWorldCupCelebration ","1"," #Joy #WorldCupTriumph ","40","80"," Brazil ","2018","7","15","21","1","1","1","","1","1","No Depresseion"
" Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. "," Devastated ","5/20/2022"," FragileTrust ","1"," #Devastated #ShatteredTrust ","25","50"," Canada ","2022","5","20","14","4","4","4","3","4","4","Severel Depression Depression"
"Feeling a sense of emptiness after a close friend moves away. Farewells are always sad. "," Sad ","9/24/2023"," FriendMovingAwayHighSchool ","1"," #SayingGoodbye #HighSchoolEmotions ","21","42"," Canada","2023","9","24","17","3","3","3","2","3","3","Moderate Depression"
"In the garden of friendships, each bloom a testament to the beauty of camaraderie. "," Friendship ","8/28/2018"," FriendshipGarden ","1"," #Friendship #CamaraderieBlooms ","30","60"," South Africa ","2018","8","28","16","1","1","1","1","1","1","No Depresseion"
"Joyful reunion with long-lost friends after years of separation.   "," JoyfulReunion ","11/18/2020"," FriendshipRenewal ","1"," #JoyfulReunion #Friendship               ","20","40"," India             ","2020","11","18","17","1","1","1","1","1","1","Minimal Depression"
"Optimism for a bright future amidst challenging times.           "," Optimism      ","7/5/2021"," FutureOptimist  ","1"," #Optimism #BrightFuture                  ","20","40"," Canada            ","2021","7","5","9","1","1","1","1","1","1","Minimal Depression"
" Excited about the upcoming gaming tournament.      "," Positive  ","2/23/2023"," GamingEnthusiast","1"," #Gaming #Tournament                     ","30","60","USA","2023","1","28","9","1","1","1","1","1","1","No Depression"
"Bought a new video game, played for hours, forgot to eat. The ultimate gaming session. #GamerLife #NoFoodGaming "," Excitement ","5/30/2023"," GamingEnthusiast ","1"," #GameOn #TeenGamer ","22","45"," USA","2023","5","30","20","1","1","2","1","1","1","No Depresseion"
"Surrounded by the vibrant colors of a flower garden, the gardener nurtures blossoms, finding joy in the beauty of nature's ever-changing canvas. "," Nature's Beauty ","5/15/2020"," GardeningEnthusiastFlowerGarden ","1"," #NaturesBeauty #FloralJoy ","28","55"," Australia ","2020","5","15","18","1","1","1","1","1","1","No Depresseion"
" Pride in accomplishing personal and professional goals.  "," Pride        ","3/3/2023"," GoalAchiever    ","1"," #Pride #Accomplishments                     ","12","25"," Canada ","2023","3","3","14","1","1","1","1","1","1","No Depression"
"At the golf tournament, the golfer's precision and focus lead to a stunning victory, leaving spectators in awe of their exceptional skill. "," Awe ","4/10/2016"," GolfEnthusiastPrecisionVictory ","1"," #Awe #GolfVictory ","22","45"," Scotland ","2016","4","10","18","1","1","1","1","1","1","No Depression"
" Empowerment through learning and personal growth.      "," Empowerment   ","7/20/2014"," GrowthSeeker    ","1"," #Empowerment #PersonalGrowth                  ","25","50","USA","2014","7","20","11","1","1","1","1","1","1","No Depression"
"Reflecting on personal growth achieved through life experiences.  "," Reflection    ","3/8/2019"," GrowthSeeker    ","1"," #Reflection #PersonalGrowth              ","35","70"," USA               ","2019","3","8","18","2","2","2","1","2","2","Minimal Depression"
"The gymnast's unexpected fall during a routine sparks a wave of sympathy from the audience, highlighting the vulnerability of sports. "," Sympathy ","4/5/2021"," GymnasticsFanRoutineFall ","1"," #Sympathy #GymnasticsFall ","28","55"," Japan ","2021","4","5","20","2","2","2","2","2","2","Minimal Depression"
"Attempting to set a new record for the most consecutive hacky sack kicks. Hacky sack skills: Unleashed! "," Excitement ","8/29/2023"," HackySackChampionHighSchool ","1"," #HackySackChallenge #HighSchoolAthlete ","26","48"," Canada","2023","8","29","13","1","1","1","1","1","1","No Depresseion"
"Experimenting with a new hair color. A bold change for a bold semester! "," Excitement ","9/7/2023"," HairColorExperimentHighSchool ","1"," #HairExperiment #HighSchoolStyle ","20","39"," USA","2023","9","7","18","1","1","1","1","1","1","Minimal Depression"
" A surprise gift from a friend made my day!              "," Surprise     ","2/16/2023"," HappySurprise   ","1"," #Surprise #Gift                              ","25","50"," USA          ","2023","2","16","14","1","1","1","1","1","1","No Depression"
"Feeling empowered after conquering a challenging hiking trail.     "," Empowerment   ","9/5/2018"," HikingExplorer  ","1"," #Empowerment #HikingAdventure             ","35","70"," USA               ","2018","9","5","14","2","1","1","1","1","1","Minimal Depression"
"Attended a lecture on history, always fascinated by the lessons from the past. Learning is a lifelong adventure. #HistoryLecture #SeniorLearning "," Curiosity ","6/26/2023"," HistoryEnthusiast ","1"," #LifetimeAdventure #SeniorCuriosity ","30","60"," UK","2023","6","26","14","1","1","1","1","1","1","No Depresseion"
"Witnessing a heartwarming comeback in the hockey finals, fans share tears of joy as the team secures a historic victory after adversity. "," Heartwarming ","12/12/2020"," HockeyFanComebackVictory ","1"," #Heartwarming #HockeyFinalsComeback ","22","45"," Canada ","2020","12","12","20","1","1","1","1","1","1","No Depresseion"
"Embracing the aroma of freshly baked bread, the home chef finds joy in the art of baking, creating delicious memories for loved ones. "," Joy in Baking ","4/10/2023"," HomeBakerDeliciousMemories ","1"," #JoyInBaking #HomemadeDelights ","22","45"," India ","2023","4","10","17","1","1","1","1","1","1","No Depresseion"
"Savoring the flavors of a home-cooked meal. Simple joys are the heart of happiness. #HomeCooking #SimpleJoys "," Contentment ","6/14/2023"," HomeChefSenior ","1"," #HappinessInFood #SeniorLife ","25","50"," USA","2023","6","14","19","1","1","1","1","1","1","No Depresseion"
"Embarked on a DIY home decor project. Let's hope it turns out better than last time. #DIYAdventure #TeenHomeDecor "," Excitement ","6/8/2023"," HomeDecorator ","1"," #DIYGoals #TeenCreative ","35","70"," UK","2023","6","8","16","1","1","1","1","1","1","No Depresseion"
" Drowning in despair, hope slipping through my fingers."," Despair      ","4/2/2016"," HopelessHeart    ","1"," #Despair #Hopeless                           ","10","20"," USA          ","2016","4","2","20","4","4","4","4","4","5","Severel Depression Depression"
