caption,mental_state,language
"दिल के शहर में जैसे एक महकती बगिया हो, जिसकी खुशबू से हर खामोश गली रौशन रहती है।",Happy,Hindi
Confusion surrounds me as I navigate through life's choices. ,Stressed,English
Ich liebe die Natur und ihre Schönheit.,Moderately Depressed,English
"सपनों का पीछा करो, वो खुद चल कर आएंगे।",Moderately Depressed,Hindi
"Jealousy gnaws at my confidence, a toxic emotion.  ",Happy,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
Ich liebe die Natur und ihre Schönheit.,Severely Depressed,English
Amar a vida é um presente maravilhoso.,Happy,English
"जो पल में झूमे, वही असल में जीता है।",Happy,Hindi
Productive day ticking off my to-do list.          ,Moderately Depressed,English
"धूप की तरह हूँ, छू भी लूँ और जलूँ भी नहीं!",Stressed,Hindi
दूसरों से कभी तुलना मत करो।,Happy,Hindi
कभी-कभी छोटी बातें भी दिल को खुश कर देती हैं।,Happy,Hindi
"Exploring the vibrant street art of a cultural neighborhood, each mural tells a story, infusing the city with creativity and expression. ",Stressed,English
AdModerate Depressionld Depressionration for the intricate details of a handcrafted masterpiece. ,Stressed,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
Productive day ticking off my to-do list.          ,Happy,English
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
सादगी ही असली खूबसूरती है। ✨ #सादगी,Severely Depressed,Hindi
कड़ी मेहनत का फल हमेशा मीठा होता है।,Happy,Hindi
खुद को हमेशा प्रेरित रखो।,Moderately Depressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
"Swept away by the river of regret, the currents of the past refusing to release. ",Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
बेशक हंसना अच्छी बात है,Happy,Hindi
Elation after a surprise reunion with old friends.    ,Moderately Depressed,English
हर सपना पूरा करने की ताकत तुम्हारे अंदर है। 💪 #सपने_साकार,Stressed,Hindi
"अपने लक्ष्य पर ध्यान दो, बाकी सब बेकार है।",Stressed,Hindi
"इश्क़ उसकी वो पहली मुस्कान है, जिसे एक बार देख कर दिल पूरी उम्र उसी के नाम हो गया।",Moderately Depressed,Hindi
"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ",Severely Depressed,English
हर सुबह खुद को नया पाने की आदत सी हो गई है।,Happy,Hindi
"At the golf tournament, the golfer's precision and focus lead to a stunning victory, leaving spectators in awe of their exceptional skill. ",Happy,English
"Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",Moderately Depressed,English
सपनों का पीछा करते रहो। 🚶‍♂️ #सपने,Happy,Hindi
Bonjour! Aujourd’hui est une belle journée.,Normal,English
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Happy,English
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",Happy,English
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",Happy,English
Bonjour! Aujourd’hui est une belle journée.,Sad,English
"C’est la saison des fleurs, profitons-en!",Happy,English
Gratitude for the supportive community around me.    ,Moderately Depressed,English
Captivated by the ethereal beauty of a field filled with fireflies. ,Moderately Depressed,English
Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions ,Moderately Depressed,English
Reflecting on personal growth achieved through life experiences.  ,Stressed,English
"Yearning for a touch that's Not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Happy,English
"C’est la saison des fleurs, profitons-en!",Stressed,English
"Emotional storm, a whirlwind of sadness engulfs every thought.    ",Stressed,English
Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? ,Happy,English
असफलता और आशा,Stressed,Hindi
"Yearning for a touch that's Not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Stressed,English
The victory of our team brought euphoria to the city. ,Normal,English
"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ",Normal,English
अपने आपको समय दो।,Severely Depressed,Hindi
कल से बेहतर आज।,Stressed,Hindi
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",Happy,English
"Swept away by the river of regret, the currents of the past refusing to release. ",Happy,English
Feeling accomplished after a productive day.       ,Happy,English
हिम्मत हार गया।,Happy,Hindi
Ich liebe die Natur und ihre Schönheit.,Normal,English
Elation over discovering a rare book in a quaint bookstore.      ,Stressed,English
"La vida es un viaje, disfruta cada momento.",Severely Depressed,English
ଆମେ ସାଧାରଣ ଜୀବନରେ ଶାନ୍ତି ପାଇବା ପାଇଁ କରୁଛୁ।,Moderately Depressed,Hindi
"La vida es un viaje, disfruta cada momento.",Stressed,English
मौसम कितने हो आफत के यहाँ दरिया बहते है राहत के ।,Happy,Hindi
"दिल के हर कोने में उसकी धुंधली सी छवि बसी है, जैसे बरसों पुरानी एक अनमोल तस्वीर।",Moderately Depressed,Hindi
"मेरी दुनिया बस इतनी-सी है, और ये मुझे बहुत प्यारी है।",Normal,Hindi
"Accidentally spilled paint in art class. Abstract art, right? #ArtClassAdventures #HighSchoolArtist ",Moderately Depressed,English
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Happy,English
"आज खुद को वो तोहफा दिया, जो किसी और ने कभी नहीं दिया।",Happy,Hindi
प्रत्येक संकट नई संभावनाओं को जन्म देता है....,Happy,Hindi
दुनिया की भीड़ में खुद को खोने नहीं दूंगा!,Normal,Hindi
रिफ्लेक्शन में वो दिखता है जो दुनिया से छुपा रखा है।,Happy,Hindi
आसमा के परे एक जहां है कहीं झूठ सच का वाहा काएदा ही नही,Normal,Hindi
"हर दुआ की तासीर में जैसे उसकी परछाई हो, ख्वाहिशें भी उसे पा लेने का हुनर सीख रही हैं।",Moderately Depressed,Hindi
Pure happiness: celebrating a loved one's achievement! ,Stressed,English
The euphoria of a surprise birthday celebration.     ,Stressed,English
Anticipating a thrilling adventure in the coModerate Depressionld Depressionng weeks. ,Stressed,English
"Bought a new video game, played for hours, forgot to eat. The ultimate gaModerate Depressionld Depressionng session. #GamerLife #NoFoodGaModerate Depressionld Depressionng ",Happy,English
Whimsical delight in a world of fairy tales and magical creatures.  ,Happy,English
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time. ",Stressed,English
Attending a live music concert tonight.            ,Happy,English
"Exploring the ancient ruins of Angkor Wat, each stone whispering stories of Khmer civilization. ",Stressed,English
ख्वाबों का पीछा करते करते खुद को पा लिया।,Normal,Hindi
Amar a vida é um presente maravilhoso.,Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
"La vida es un viaje, disfruta cada momento.",Normal,English
Confusion surrounds me as I navigate through life's choices. ,Stressed,English
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
Drowning in sorrow as memories of lost love resurface.            ,Moderately Depressed,English
Reflecting on personal growth achieved through life experiences.  ,Happy,English
"अपने ही अक्स में उलझी हूँ, या शायद खुद को ढूंढ रही हूँ।",Happy,Hindi
"Emotional exhaustion, the weight of the world crushing weary shoulders. ",Happy,English
"जो मेरे करीब है, वो मेरे लिए अनमोल है।",Happy,Hindi
रिफ्लेक्शन में वो दिखता है जो दुनिया से छुपा रखा है।,Moderately Depressed,Hindi
"C’est la saison des fleurs, profitons-en!",Severely Depressed,English
Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! ,Happy,English
Hoy me siento lleno de energía y motivación.,Happy,English
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",Happy,English
"तुम्हे मुस्कुराता देख, हम मुस्कुराने लग गए !...",Sad,Hindi
"तितली सी हूँ, बस उड़ने का बहाना ढूंढती हूँ।",Stressed,Hindi
Drenched in Nostalgia while flipping through an old faModerate Depressionld Depressionly photo album. ,Sad,English
Hoy me siento lleno de energía y motivación.,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
जीवन एक पहेली है।,Normal,Hindi
Decided to study for exams but ended up making memes about studying instead. Procrastination level: Expert. #ProcrastinationNation #TeenConfessions ,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
Whimsical delight in a world of whimsical fairy tales.             ,Happy,English
कभी-कभी खामोशी में भी मोहब्बत की चहक होती है।,Happy,Hindi
"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker ",Happy,English
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Happy,English
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Moderately Depressed,English
"दिल के हर कोने में उसकी धुंधली सी छवि बसी है, जैसे बरसों पुरानी एक अनमोल तस्वीर।",Normal,Hindi
मुझे लगता है सब खत्म हो गया।,Normal,Hindi
Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! ,Stressed,English
Bonjour! Aujourd’hui est une belle journée.,Happy,English
Experimenting with a new recipe for a school bake sale. Baking adventures in the kitchen. ,Happy,English
Bonjour! Aujourd’hui est une belle journée.,Stressed,English
Feeling inspired after attending a workshop.       ,Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Happy,English
Tried a magic trick to impress classmates. Magic fail: Where did that rabbit go? ,Normal,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
Spent hours perfecting a cheModerate Depressionld Depressionstry experiment. Moderate Depressionld Depressionxing potions like a wizard! ,Happy,English
"C’est la saison des fleurs, profitons-en!",Happy,English
Feeling accomplished after a productive day.       ,Moderately Depressed,English
"Like a withered rose in the garden of love, petals fall, a silent surrender to time. ",Stressed,English
Hoy me siento lleno de energía y motivación.,Happy,English
"कपड़ों का फैशन बदलता रहता है, पर साड़ी का रुतबा हमेशा कायम है।",Normal,Hindi
Envy eats away at me as I see others' prosperity.  ,Stressed,English
Enthusiasm for a new artistic project in the works.  ,Normal,English
"Drowning in despair, hope slipping through my fingers.",Moderately Depressed,English
फासलों से हौसला ये टूटता नहीं,Stressed,Hindi
Overflowing happiness: welcoModerate Depressionld Depressionng a new faModerate Depressionld Depressionly member!  ,Stressed,English
खुद की तारीफ करने में कोई बुराई नहीं; आईना भी ये ही कहता है।,Severely Depressed,Hindi
अंदर से टूट चुके हैं। 😔 #दर्द,Happy,Hindi
"Frustration escalates, a thunderstorm of emotions. ",Normal,English
"कहानी अधूरी सही, पर खूबसूरत है।",Happy,Hindi
हर दिन एक नई चुनौती है।,Stressed,Hindi
हर दिन एक नई शुरुआत होती है। #नया_सवेरा,Happy,Hindi
The euphoria of a surprise birthday celebration.     ,Stressed,English
वक्त का पता नहीं चलता। ⏳ #यादें,Happy,Hindi
हम लबों से कह ना पाए उनसे हाल-ए-दिल कभी,Stressed,Hindi
Harmony resonates as musicians play a symphony of unity.           ,Severely Depressed,English
Planning a surprise scavenger hunt for friends. Anticipating the thrill and excitement! ,Stressed,English
The fear of the unkNown is keeping me up at night.    ,Happy,English
"उसके संग बिताए लम्हों का हिसाब नहीं, जैसे वक्त की दरिया में कुछ ख्वाब तैरते रह गए हैं।",Severely Depressed,Hindi
प्यार में अक्सर दिल टूट जाता है। 💔 #दिल,Moderately Depressed,Hindi
OptiModerate Depressionld Depressionsm for a bright future aModerate Depressionld Depressiondst challenging times.           ,Severely Depressed,English
शामें मलंग सी।,Happy,Hindi
Surprise and delight at discovering a hidden gem in the city.    ,Happy,English
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",Happy,English
Reverence for the wonders of nature on a hiking trail.,Stressed,English
कोई रास्ता नहीं दिखता।,Stressed,Hindi
"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ",Normal,English
"Swept away by the river of regret, the currents of the past refusing to release. ",Normal,English
सितारों की तरह मैं भी आसमान से उलझा रहता हूँ।,Happy,Hindi
प्यार और खुशी फैलाओ।,Moderately Depressed,Hindi
An amusing incident brightened up my day!               ,Moderately Depressed,English
हमदर्दियाँ चुभतीं हैं अब यूँ ख़ामख़ा मिज़ाज ना पूछा करो,Sad,Hindi
"Suffocating in the silence of solitude, where echoes of laughter once thrived. ",Moderately Depressed,English
सपनों की दुनिया।,Happy,Hindi
"प्रेम की इस राह पर हर कदम जैसे उसके एहसास से सजी ज़मीं का हिस्सा है, जिसकी छांव में हर दर्द खो जाता है।",Moderately Depressed,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
"C’est la saison des fleurs, profitons-en!",Happy,English
"दुआ करो में कोई रास्ता निकाल सकूँ,, तुम्हे भी देख सकूँ, खुद को भी सम्भाल सकूँ।",Moderately Depressed,Hindi
"Apprehensive whispers in the wind, a forecast of uncertainty, the Moderate Depressionld Depressionnd's weather vane spinning wildly in the storm of doubt. ",Sad,English
Amar a vida é um presente maravilhoso.,Normal,English
तस्वीरें यादें बन जाती हैं। 📸 #यादें,Happy,Hindi
रिफ्लेक्शन में वो दिखता है जो दुनिया से छुपा रखा है।,Severely Depressed,Hindi
बेवजह गुस्सा आता है।,Stressed,Hindi
Compassion shown through acts of kindness in the community.,Severely Depressed,English
सादगी ही असली खूबसूरती है। ✨ #सादगी,Moderately Depressed,Hindi
"La vida es un viaje, disfruta cada momento.",Happy,English
Euphoria floods in as the final puzzle piece fits perfectly.       ,Stressed,English
Hoy me siento lleno de energía y motivación.,Normal,English
"Wrestling with thoughts, a perplexed Moderate Depressionld Depressionnd lost in the labyrinth of life's complexities. ",Happy,English
"Curiosity driving the exploration of the unkNown, a seeker of kNowledge in uncharted territories. ",Normal,English
Elation after a surprise reunion with old friends.    ,Moderately Depressed,English
Contentment envelops as the aroma of freshly baked bread fills the air. ,Happy,English
"अपने लक्ष्य पर ध्यान दो, बाकी सब बेकार है।",Severely Depressed,Hindi
Confidence soars after overcoModerate Depressionld Depressionng public speaking anxiety.       ,Happy,English
"Avoiding the thorns of regret, walking barefoot on the path of remorse. ",Moderately Depressed,English
Amar a vida é um presente maravilhoso.,Severely Depressed,English
"At the golf tournament, the golfer's precision and focus lead to a stunning victory, leaving spectators in awe of their exceptional skill. ",Happy,English
Moderate Depressionld Depressionssing an important event due to unforeseen circumstances. A day filled with sadness. ,Stressed,English
Amar a vida é um presente maravilhoso.,Normal,English
"Curiosity driving the exploration of the unkNown, a seeker of kNowledge in uncharted territories. ",Happy,English
Feeling a sense of emptiness after a close friend moves away. Farewells are always sad. ,Moderately Depressed,English
Feeling lonely on a Saturday night. Sometimes solitude hits harder than expected. ,Stressed,English
Compassion shown through acts of kindness in the community.,Stressed,English
Confusion reigns as I try to make sense of recent events.,Severely Depressed,English
"Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuModerate Depressionld Depressionnated by the sun of optiModerate Depressionld Depressionsm. ",Stressed,English
Savoring the warmth of a cup of cocoa on a chilly winter evening.   ,Stressed,English
Hoy me siento lleno de energía y motivación.,Normal,English
"La vida es un viaje, disfruta cada momento.",Normal,English
Compassion in action: supporting a local charity event. ,Stressed,English
Just published a new blog post. Check it out!      ,Stressed,English
"मोहब्बत में वो कशिश है, जैसे किसी खामोश झील में बसा हुआ चाँद और उसकी पूरी परछाईं।",Happy,Hindi
"La vida es un viaje, disfruta cada momento.",Normal,English
Pride in accomplishing personal and professional goals.  ,Severely Depressed,English
"Bought a new video game, played for hours, forgot to eat. The ultimate gaModerate Depressionld Depressionng session. #GamerLife #NoFoodGaModerate Depressionld Depressionng ",Happy,English
An amusing incident brightened up my day!               ,Happy,English
"At the front row of Adele's concert, each Note of 'Someone Like You' resonates with soul-stirring emotion. ",Happy,English
अपने आपको समय दो।,Moderately Depressed,Hindi
Amar a vida é um presente maravilhoso.,Happy,English
ज़िंदगी में खुश रहना ही असली जीत है।,Severely Depressed,Hindi
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Stressed,English
"Bitterness, a bitter aftertaste lingering on the tongue, each word a reModerate Depressionld Depressionnder of wounds that refuse to heal with the passing of time. ",Stressed,English
सपनों का पीछा करते रहो। 🚶‍♂️ #सपने,Severely Depressed,Hindi
सेहत ही असली दौलत है। 🏋️‍♀️ #फिटनेस_मंत्र,Normal,Hindi
"La vida es un viaje, disfruta cada momento.",Severely Depressed,English
"A fiery deterModerate Depressionld Depressionnation burning within, fueled by the vision of reaching unparalleled heights. ",Happy,English
"DisModerate Depressionld Depressionssive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Moderately Depressed,English
खुशियों का रास्ता अपने अंदर है।,Happy,Hindi
"La vida es un viaje, disfruta cada momento.",Normal,English
सुबह की सैर बहुत ताज़गी देती है।,Happy,Hindi
Encountered some mean-spirited comments online. Dealing with online hate is never easy. ,Happy,English
Sending affectionate vibes to friends and faModerate Depressionld Depressionly.        ,Moderately Depressed,English
"सपनों का पीछा करो, वो खुद चल कर आएंगे।",Happy,Hindi
Elation after achieving a fitness Moderate Depressionld Depressionlestone.         ,Normal,English
सोच में डूबा हूं।,Moderately Depressed,Hindi
Encountered some mean-spirited comments online. Dealing with online hate is never easy. ,Stressed,English
"DisModerate Depressionld Depressionssive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",Happy,English
"A fiery deterModerate Depressionld Depressionnation burning within, fueled by the vision of reaching unparalleled heights. ",Happy,English
Joyful reunion with long-lost friends after years of separation.   ,Normal,English
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Happy,English
"Emotional exhaustion, the weight of the world crushing weary shoulders. ",Happy,English
Ich liebe die Natur und ihre Schönheit.,Normal,English
କେତେବେଳେ ଆମେ ସମସ୍ୟା ସମାଧାନ ମାଗୁଛୁ।,Happy,Hindi
Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! ,Severely Depressed,English
"Organizing a virtual talent show during challenging times, bringing sModerate Depressionld Depressionles to classmates' faces! ",Happy,English
Compassion shown through acts of kindness in the community.,Happy,English
"जो मेरी कहानी समझ न सके, वो मेरा जिक्र करने का हक नहीं रखते।",Happy,Hindi
"Wandering in the maze of betrayal, the walls closing in with every wrong turn. ",Happy,English
"Exploring the vibrant street art of a cultural neighborhood, each mural tells a story, infusing the city with creativity and expression. ",Moderately Depressed,English
Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! ,Moderately Depressed,English
Pure happiness: celebrating a loved one's achievement! ,Moderately Depressed,English
"उसकी एक हंसी जैसे दिल के हर दर्द पर मरहम, जैसे सूरज की पहली किरण ठंड में गर्माहट घोलती है।",Stressed,Hindi
मुझे कोई उम्मीद नहीं दिख रही।,Sad,Hindi
"सपने पंख नहीं, हौसले मांगते हैं।",Happy,Hindi
"In the tennis tournament, a highly anticipated player experiences a setback, leaving fans in shock and questioning the unforeseen turn of events. ",Moderately Depressed,English
Bonjour! Aujourd’hui est une belle journée.,Moderately Depressed,English
Just published a new blog post. Check it out!      ,Happy,English
"C’est la saison des fleurs, profitons-en!",Stressed,English
Anticipating a thrilling adventure in the coModerate Depressionld Depressionng weeks. ,Normal,English
Amused by the antics of my pet??t's pure amusement!      ,Stressed,English
Ich liebe die Natur und ihre Schönheit.,Happy,English
"Yearning for a touch that's Not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",Happy,English
खो कर पता चलती है कीमत किसी की पास अगर हो तो अहसास कहाँ होता है..,Stressed,Hindi
Confidence soars after overcoModerate Depressionld Depressionng public speaking anxiety.       ,Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
मुझे थकान महसूस हो रही है।,Moderately Depressed,Hindi
तुमको देखा तो ये ख़याल आया ज़िंदगी धूप तुम घना साया,Stressed,Hindi
Mesmerized by the cosModerate Depressionld Depressionc dance of fireflies on a moonlit night.    ,Stressed,English
"Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",Moderately Depressed,English
"C’est la saison des fleurs, profitons-en!",Happy,English
कल से बेहतर आज।,Happy,Hindi
"हर अधूरी कहानी के पीछे एक अधूरा ख्वाब है, जिसे पूरा करने का हुनर उसकी आंखों ने सिखाया है।",Moderately Depressed,Hindi
"At the golf tournament, the golfer's precision and focus lead to a stunning victory, leaving spectators in awe of their exceptional skill. ",Moderately Depressed,English
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Moderately Depressed,English
"La vida es un viaje, disfruta cada momento.",Happy,English
"At the front row of Adele's concert, each Note of 'Someone Like You' resonates with soul-stirring emotion. ",Moderately Depressed,English
"Swept away by the river of regret, the currents of the past refusing to release. ",Stressed,English
"जो दिल से उतर गए, वो ख्वाबों में नहीं आते।",Happy,Hindi
जीतने की कोशिश में लगे रहो।,Normal,Hindi
"C’est la saison des fleurs, profitons-en!",Moderately Depressed,English
"जो दिल से उतर गए, वो ख्वाबों में नहीं आते।",Happy,Hindi
"Frustration escalates, a thunderstorm of emotions. ",Happy,English
Amar a vida é um presente maravilhoso.,Happy,English
"In the heart of New York City, Times Square dazzles with lights, a vibrant spectacle of urban energy. ",Happy,English
Feeling blessed for the supportive community in times of need.    ,Moderately Depressed,English
"Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",Happy,English
जिंदगी का मजा लो।,Normal,Hindi
Ich liebe die Natur und ihre Schönheit.,Happy,English
"Loneliness, a solitary moon in a starless sky, casting a cold glow on the landscape of isolation, where echoes bounce in empty spaces. ",Happy,English
प्यार और खुशी फैलाओ।,Stressed,Hindi
"In the tennis tournament, a highly anticipated player experiences a setback, leaving fans in shock and questioning the unforeseen turn of events. ",Happy,English
Gratitude for the supportive community around me.    ,Normal,English
Just published a new blog post. Check it out!      ,Moderately Depressed,English
Ich liebe die Natur und ihre Schönheit.,Stressed,English
"Helplessness engulfs me, drowning in a sea of problems.",Moderately Depressed,English
